,name,group,ndbno
0,"Egg, duck, whole, fresh, raw",Dairy and Egg Products,01138
1,"Egg, goose, whole, fresh, raw",Dairy and Egg Products,01139
2,"Egg, quail, whole, fresh, raw",Dairy and Egg Products,01140
3,"Egg, turkey, whole, fresh, raw",Dairy and Egg Products,01141
4,"Egg, white, raw, fresh",Dairy and Egg Products,01124
5,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,01172
6,"Egg, whole, raw, fresh",Dairy and Egg Products,01123
7,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,01171
8,"Egg, whole, raw, frozen, salted, pasteurized",Dairy and Egg Products,01255
9,"Egg, yolk, raw, fresh",Dairy and Egg Products,01125
10,"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,01126
11,"Egg, yolk, raw, frozen, salted, pasteurized",Dairy and Egg Products,01160
12,"Egg, yolk, raw, frozen, sugared, pasteurized",Dairy and Egg Products,01127
13,"Beans, snap, green, raw",Vegetables and Vegetable Products,11052
14,"Beet greens, raw",Vegetables and Vegetable Products,11086
15,"Cauliflower, green, raw",Vegetables and Vegetable Products,11965
16,"Chicory greens, raw",Vegetables and Vegetable Products,11152
17,"Corn with red and green peppers, canned, solids and liquids",Vegetables and Vegetable Products,11184
18,"Dandelion greens, raw",Vegetables and Vegetable Products,11207
19,"Grapes, red or green (European type, such as Thompson seedless), raw",Fruits and Fruit Juices,09132
20,"Kiwifruit, green, raw",Fruits and Fruit Juices,09148
21,"Lettuce, green leaf, raw",Vegetables and Vegetable Products,11253
22,"Mustard greens, raw",Vegetables and Vegetable Products,11270
23,"Pears, raw, green anjou",Fruits and Fruit Juices,09415
24,"Peas, green, raw",Vegetables and Vegetable Products,11304
25,"Peas, green, split, mature seeds, raw",Legumes and Legume Products,16085
26,"Pepper, banana, raw",Vegetables and Vegetable Products,11976
27,"Peppers, chili, green, canned",Vegetables and Vegetable Products,11980
28,"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",Vegetables and Vegetable Products,11329
29,"Peppers, hot chili, green, raw",Vegetables and Vegetable Products,11670
30,"Peppers, hot chili, red, raw",Vegetables and Vegetable Products,11819
31,"Peppers, hungarian, raw",Vegetables and Vegetable Products,11981
32,"Peppers, jalapeno, raw",Vegetables and Vegetable Products,11979
33,"Peppers, serrano, raw",Vegetables and Vegetable Products,11977
34,"Peppers, sweet, green, canned, solids and liquids",Vegetables and Vegetable Products,11335
35,"Peppers, sweet, green, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,11334
36,"Peppers, sweet, green, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,11822
37,"Peppers, sweet, green, freeze-dried",Vegetables and Vegetable Products,11634
38,"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",Vegetables and Vegetable Products,11338
39,"Peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,11825
40,"Peppers, sweet, green, frozen, chopped, unprepared",Vegetables and Vegetable Products,11337
41,"Peppers, sweet, green, raw",Vegetables and Vegetable Products,11333
42,"Peppers, sweet, green, sauteed",Vegetables and Vegetable Products,11339
43,"Peppers, sweet, red, raw",Vegetables and Vegetable Products,11821
44,"Peppers, sweet, yellow, raw",Vegetables and Vegetable Products,11951
45,"Soybeans, green, raw",Vegetables and Vegetable Products,11450
46,"Tomatoes, green, raw",Vegetables and Vegetable Products,11527
47,"Tomato products, canned, sauce, with onions, green peppers, and celery",Vegetables and Vegetable Products,11557
48,"Turnip greens, raw",Vegetables and Vegetable Products,11568
59,"Peas, edible-podded, raw",Vegetables and Vegetable Products,11300
60,"Peas, green, canned, drained solids, rinsed in tap water",Vegetables and Vegetable Products,11311
61,"Peas, green, canned, no salt added, drained solids",Vegetables and Vegetable Products,11813
62,"Peas, green, canned, no salt added, solids and liquids",Vegetables and Vegetable Products,11812
63,"Peas, green, canned, regular pack, solids and liquids",Vegetables and Vegetable Products,11306
64,"Peas, green, canned, seasoned, solids and liquids",Vegetables and Vegetable Products,11310
65,"Peas, green, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,11305
66,"Peas, green, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,11811
67,"Peas, green, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,11313
68,"Peas, green, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,11814
69,"Peas, green, frozen, unprepared",Vegetables and Vegetable Products,11312
70,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",Vegetables and Vegetable Products,11308
73,"Peas, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11316
76,"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,16101
80,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",Vegetables and Vegetable Products,43312
81,"Carrots, baby, raw",Vegetables and Vegetable Products,11960
82,"Carrots, raw",Vegetables and Vegetable Products,11124
83,"Broccoli, chinese, raw",Vegetables and Vegetable Products,11994
84,"Broccoli, flower clusters, raw",Vegetables and Vegetable Products,11740
85,"Broccoli, leaves, raw",Vegetables and Vegetable Products,11739
86,"Broccoli raab, raw",Vegetables and Vegetable Products,11096
87,"Broccoli, raw",Vegetables and Vegetable Products,11090
88,"Broccoli, stalks, raw",Vegetables and Vegetable Products,11741
90,"Cauliflower, raw",Vegetables and Vegetable Products,11135
91,"Corn, sweet, white, raw",Vegetables and Vegetable Products,11900
92,"Corn, sweet, yellow, raw",Vegetables and Vegetable Products,11167
93,"Succotash, (corn and limas), raw",Vegetables and Vegetable Products,11495
94,"Mustard spinach, (tendergreen), raw",Vegetables and Vegetable Products,11274
95,"New Zealand spinach, raw",Vegetables and Vegetable Products,11276
96,"Spinach, raw",Vegetables and Vegetable Products,11457
98,"Tomatoes, orange, raw",Vegetables and Vegetable Products,11695
99,"Tomatoes, red, ripe, raw, year round average",Vegetables and Vegetable Products,11529
100,"Tomatoes, yellow, raw",Vegetables and Vegetable Products,11696
101,"Cherries, sweet, raw",Fruits and Fruit Juices,09070
104,"Onions, raw",Vegetables and Vegetable Products,11282
105,"Onions, spring or scallions (includes tops and bulb), raw",Vegetables and Vegetable Products,11291
106,"Onions, sweet, raw",Vegetables and Vegetable Products,11294
107,"Onions, welsh, raw",Vegetables and Vegetable Products,11293
111,"Pickles, chowchow, with cauliflower onion mustard, sweet",Vegetables and Vegetable Products,11983
112,"Pineapple, raw, extra sweet variety",Fruits and Fruit Juices,09430
113,"Sweet potato leaves, raw",Vegetables and Vegetable Products,11505
114,"Sweet potato, raw, unprepared",Vegetables and Vegetable Products,11507
115,"Cucumber, peeled, raw",Vegetables and Vegetable Products,11206
116,"Cucumber, with peel, raw",Vegetables and Vegetable Products,11205
117,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,11937
118,"Pickles, cucumber, dill, reduced sodium",Vegetables and Vegetable Products,11947
119,"Pickles, cucumber, sour",Vegetables and Vegetable Products,11941
120,"Pickles, cucumber, sour, low sodium",Vegetables and Vegetable Products,11946
121,"Pickles, cucumber, sweet (includes bread and butter pickles)",Vegetables and Vegetable Products,11940
122,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",Vegetables and Vegetable Products,11948
123,"Beverages, almond milk, chocolate, ready-to-drink",Beverages,14054
124,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",Beverages,14016
125,"Beverages, almond milk, unsweetened, shelf stable",Beverages,14091
126,"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",Beverages,14169
127,"Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E",Beverages,14092
128,"Beverages, chocolate drink, milk and soy based, ready to drink, fortified",Beverages,14163
129,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",Beverages,14557
130,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",Beverages,14558
131,"Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk",Beverages,14177
132,"Beverages, Chocolate-flavored drink, whey and milk based",Beverages,43369
133,"Beverages, chocolate malt, powder, prepared with fat free milk",Beverages,14083
134,"Beverages, chocolate malt powder, prepared with 1% milk, fortified",Beverages,14164
135,"Beverages, chocolate syrup, prepared with whole milk",Beverages,14182
136,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",Beverages,14171
137,"Beverages, coffee, ready to drink, iced, mocha, milk based",Beverages,14183
138,"Beverages, coffee, ready to drink, milk based, sweetened",Beverages,14179
139,"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",Beverages,14173
140,"Beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk",Beverages,14421
141,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",Beverages,14036
142,"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",Beverages,14245
143,"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",Beverages,14318
144,"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",Beverages,14316
145,"Beverages, Malted drink mix, natural, powder, prepared with whole milk",Beverages,14312
146,"Beverages, Malted drink mix, natural, with added nutrients, powder, prepared with whole milk",Beverages,14310
147,"Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-to-drink,  added calcium, vitamin A and vitamin D",Beverages,14634
148,"Beverages, rice milk, unsweetened",Beverages,14639
149,"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",Beverages,14351
150,"Cheese, mozzarella, part skim milk",Dairy and Egg Products,01028
151,"Cheese, mozzarella, whole milk",Dairy and Egg Products,01026
152,"Cheese, mozzarella, whole milk, low moisture",Dairy and Egg Products,01027
153,"Cheese, ricotta, part skim milk",Dairy and Egg Products,01037
154,"Cheese, ricotta, whole milk",Dairy and Egg Products,01036
155,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",Dairy and Egg Products,01071
156,"Milk, buttermilk, dried",Dairy and Egg Products,01094
157,"Milk, buttermilk, fluid, cultured, lowfat",Dairy and Egg Products,01088
158,"Milk, buttermilk, fluid, cultured, reduced fat",Dairy and Egg Products,42189
159,"Milk, buttermilk, fluid, whole",Dairy and Egg Products,01230
160,"Milk, canned, condensed, sweetened",Dairy and Egg Products,01095
161,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",Dairy and Egg Products,01097
162,"Milk, canned, evaporated, with added vitamin A",Dairy and Egg Products,01153
163,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",Dairy and Egg Products,01096
164,"Milk, canned, evaporated, without added vitamin A and vitamin D",Dairy and Egg Products,01214
165,"Milk, chocolate beverage, hot cocoa, homemade",Dairy and Egg Products,01105
166,"Milk, chocolate, fat free, with added vitamin A and vitamin D",Dairy and Egg Products,01292
167,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",Dairy and Egg Products,01202
168,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",Dairy and Egg Products,01103
169,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",Dairy and Egg Products,01102
170,"Milk, chocolate, lowfat, reduced sugar",Dairy and Egg Products,01305
171,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",Dairy and Egg Products,01104
172,"Milk dessert bar, frozen, made from lowfat milk",Dairy and Egg Products,01244
173,"Milk, dry, nonfat, calcium reduced",Dairy and Egg Products,01093
174,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",Dairy and Egg Products,01092
175,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",Dairy and Egg Products,01155
176,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",Dairy and Egg Products,01154
177,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Dairy and Egg Products,01091
178,"Milk, dry, whole, with added vitamin D",Dairy and Egg Products,01090
179,"Milk, dry, whole, without added vitamin D",Dairy and Egg Products,01212
180,"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",Dairy and Egg Products,01291
181,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",Dairy and Egg Products,01059
182,"Milk, filled, fluid, with lauric acid oil",Dairy and Egg Products,01060
183,"Milk, fluid, 1% fat, without added vitamin A and vitamin D",Dairy and Egg Products,01175
184,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",Dairy and Egg Products,42290
185,"Milk, goat, fluid, with added vitamin D",Dairy and Egg Products,01106
186,"Milk, human, mature, fluid",Dairy and Egg Products,01107
187,"Milk, imitation, non-soy",Dairy and Egg Products,43543
188,"Milk, indian buffalo, fluid",Dairy and Egg Products,01108
189,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,01084
190,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",Dairy and Egg Products,01083
191,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,01082
192,"Milk, low sodium, fluid",Dairy and Egg Products,01089
193,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",Dairy and Egg Products,01087
194,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,01086
195,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,01085
196,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,01151
197,"Milk, producer, fluid, 3.7% milkfat",Dairy and Egg Products,01078
198,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,01081
199,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",Dairy and Egg Products,01080
200,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",Dairy and Egg Products,01152
201,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,01079
202,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",Dairy and Egg Products,01174
203,"Milk shakes, thick chocolate",Dairy and Egg Products,01110
204,"Milk shakes, thick vanilla",Dairy and Egg Products,01111
205,"Milk, sheep, fluid",Dairy and Egg Products,01109
206,"Milk substitutes, fluid, with lauric acid oil",Dairy and Egg Products,01076
207,"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,01077
208,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Dairy and Egg Products,01211
209,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",Nut and Seed Products,12118
210,"Nuts, coconut milk, frozen (liquid expressed from grated meat and water)",Nut and Seed Products,12176
211,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Nut and Seed Products,12117
212,"Potatoes, au gratin, dry mix, prepared with water, whole milk and butter",Vegetables and Vegetable Products,11385
213,"Potatoes, mashed, dehydrated, flakes without milk, dry form",Vegetables and Vegetable Products,11378
214,"Potatoes, mashed, dehydrated, granules with milk, dry form",Vegetables and Vegetable Products,11382
215,"Potatoes, mashed, dehydrated, granules without milk, dry form",Vegetables and Vegetable Products,11380
216,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",Vegetables and Vegetable Products,11379
217,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",Vegetables and Vegetable Products,11930
218,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",Vegetables and Vegetable Products,11383
219,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",Vegetables and Vegetable Products,11381
220,"Seeds, chia seeds, dried",Nut and Seed Products,12006
225,"Nuts, almond butter, plain, without salt added",Nut and Seed Products,12195
226,"Nuts, almond butter, plain, with salt added",Nut and Seed Products,12695
227,"Nuts, almond paste",Nut and Seed Products,12071
228,"Nuts, almonds",Nut and Seed Products,12061
229,"Nuts, almonds, blanched",Nut and Seed Products,12062
230,"Nuts, almonds, dry roasted, without salt added",Nut and Seed Products,12063
231,"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,12563
232,"Nuts, almonds, honey roasted, unblanched",Nut and Seed Products,12206
233,"Nuts, almonds, oil roasted, lightly salted",Nut and Seed Products,12665
234,"Nuts, almonds, oil roasted, without salt added",Nut and Seed Products,12065
