,name,group,ndbno,Price ($),Quantity (g)
0,"Egg, duck, whole, fresh, raw",Dairy and Egg Products,1138,,
1,"Egg, goose, whole, fresh, raw",Dairy and Egg Products,1139,,
2,"Egg, quail, whole, fresh, raw",Dairy and Egg Products,1140,,
3,"Egg, turkey, whole, fresh, raw",Dairy and Egg Products,1141,,
4,"Egg, white, raw, fresh",Dairy and Egg Products,1124,1.39,480
5,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,1172,,
6,"Egg, whole, raw, fresh",Dairy and Egg Products,1123,1.39,720
7,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,1171,,
8,"Egg, whole, raw, frozen, salted, pasteurized",Dairy and Egg Products,1255,,
9,"Egg, yolk, raw, fresh",Dairy and Egg Products,1125,,
10,"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,1126,,
11,"Egg, yolk, raw, frozen, salted, pasteurized",Dairy and Egg Products,1160,,
12,"Egg, yolk, raw, frozen, sugared, pasteurized",Dairy and Egg Products,1127,,
13,"Beans, snap, green, raw",Vegetables and Vegetable Products,11052,2.49,454
14,"Beet greens, raw",Vegetables and Vegetable Products,11086,,
15,"Cauliflower, green, raw",Vegetables and Vegetable Products,11965,,
16,"Chicory greens, raw",Vegetables and Vegetable Products,11152,,
18,"Dandelion greens, raw",Vegetables and Vegetable Products,11207,,
19,"Grapes, red or green (European type, such as Thompson seedless), raw",Fruits and Fruit Juices,9132,,
20,"Kiwifruit, green, raw",Fruits and Fruit Juices,9148,,
21,"Lettuce, green leaf, raw",Vegetables and Vegetable Products,11253,,
22,"Mustard greens, raw",Vegetables and Vegetable Products,11270,,
23,"Pears, raw, green anjou",Fruits and Fruit Juices,9415,,
24,"Peas, green, raw",Vegetables and Vegetable Products,11304,3.29,454
25,"Peas, green, split, mature seeds, raw",Legumes and Legume Products,16085,,
26,"Pepper, banana, raw",Vegetables and Vegetable Products,11976,,
29,"Peppers, hot chili, green, raw",Vegetables and Vegetable Products,11670,,
30,"Peppers, hot chili, red, raw",Vegetables and Vegetable Products,11819,,
31,"Peppers, hungarian, raw",Vegetables and Vegetable Products,11981,,
32,"Peppers, jalapeno, raw",Vegetables and Vegetable Products,11979,,
33,"Peppers, serrano, raw",Vegetables and Vegetable Products,11977,,
37,"Peppers, sweet, green, freeze-dried",Vegetables and Vegetable Products,11634,,
41,"Peppers, sweet, green, raw",Vegetables and Vegetable Products,11333,0.99,169.8
42,"Peppers, sweet, green, sauteed",Vegetables and Vegetable Products,11339,,
43,"Peppers, sweet, red, raw",Vegetables and Vegetable Products,11821,0.99,169.8
44,"Peppers, sweet, yellow, raw",Vegetables and Vegetable Products,11951,0.99,169.8
45,"Soybeans, green, raw",Vegetables and Vegetable Products,11450,,
46,"Tomatoes, green, raw",Vegetables and Vegetable Products,11527,,
48,"Turnip greens, raw",Vegetables and Vegetable Products,11568,,
59,"Peas, edible-podded, raw",Vegetables and Vegetable Products,11300,,
73,"Peas, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11316,,
76,"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,16101,,
81,"Carrots, baby, raw",Vegetables and Vegetable Products,11960,,
82,"Carrots, raw",Vegetables and Vegetable Products,11124,0.89,454
83,"Broccoli, chinese, raw",Vegetables and Vegetable Products,11994,,
84,"Broccoli, flower clusters, raw",Vegetables and Vegetable Products,11740,,
85,"Broccoli, leaves, raw",Vegetables and Vegetable Products,11739,,
86,"Broccoli raab, raw",Vegetables and Vegetable Products,11096,,
87,"Broccoli, raw",Vegetables and Vegetable Products,11090,1.79,454
88,"Broccoli, stalks, raw",Vegetables and Vegetable Products,11741,,
90,"Cauliflower, raw",Vegetables and Vegetable Products,11135,1.99,454
91,"Corn, sweet, white, raw",Vegetables and Vegetable Products,11900,,
92,"Corn, sweet, yellow, raw",Vegetables and Vegetable Products,11167,2.99,407.52
93,"Succotash, (corn and limas), raw",Vegetables and Vegetable Products,11495,,
94,"Mustard spinach, (tendergreen), raw",Vegetables and Vegetable Products,11274,,
95,"New Zealand spinach, raw",Vegetables and Vegetable Products,11276,,
96,"Spinach, raw",Vegetables and Vegetable Products,11457,3.99,283
98,"Tomatoes, orange, raw",Vegetables and Vegetable Products,11695,,
99,"Tomatoes, red, ripe, raw, year round average",Vegetables and Vegetable Products,11529,0.99,454
100,"Tomatoes, yellow, raw",Vegetables and Vegetable Products,11696,,
101,"Cherries, sweet, raw",Fruits and Fruit Juices,9070,,
104,"Onions, raw",Vegetables and Vegetable Products,11282,,
105,"Onions, spring or scallions (includes tops and bulb), raw",Vegetables and Vegetable Products,11291,,
106,"Onions, sweet, raw",Vegetables and Vegetable Products,11294,1.49,454
107,"Onions, welsh, raw",Vegetables and Vegetable Products,11293,,
111,"Pickles, chowchow, with cauliflower onion mustard, sweet",Vegetables and Vegetable Products,11983,,
112,"Pineapple, raw, extra sweet variety",Fruits and Fruit Juices,9430,,
113,"Sweet potato leaves, raw",Vegetables and Vegetable Products,11505,,
114,"Sweet potato, raw, unprepared",Vegetables and Vegetable Products,11507,1.65,454
115,"Cucumber, peeled, raw",Vegetables and Vegetable Products,11206,,
116,"Cucumber, with peel, raw",Vegetables and Vegetable Products,11205,1,227
117,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,11937,,
118,"Pickles, cucumber, dill, reduced sodium",Vegetables and Vegetable Products,11947,,
119,"Pickles, cucumber, sour",Vegetables and Vegetable Products,11941,,
120,"Pickles, cucumber, sour, low sodium",Vegetables and Vegetable Products,11946,,
121,"Pickles, cucumber, sweet (includes bread and butter pickles)",Vegetables and Vegetable Products,11940,,
122,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",Vegetables and Vegetable Products,11948,,
124,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",Beverages,14016,,
125,"Beverages, almond milk, unsweetened, shelf stable",Beverages,14091,2.49,1929.5
129,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",Beverages,14557,,
132,"Beverages, Chocolate-flavored drink, whey and milk based",Beverages,43369,,
136,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",Beverages,14171,,
137,"Beverages, coffee, ready to drink, iced, mocha, milk based",Beverages,14183,,
138,"Beverages, coffee, ready to drink, milk based, sweetened",Beverages,14179,,
139,"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",Beverages,14173,,
141,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",Beverages,14036,,
147,"Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-to-drink,  added calcium, vitamin A and vitamin D",Beverages,14634,,
148,"Beverages, rice milk, unsweetened",Beverages,14639,,
150,"Cheese, mozzarella, part skim milk",Dairy and Egg Products,1028,,
151,"Cheese, mozzarella, whole milk",Dairy and Egg Products,1026,,
152,"Cheese, mozzarella, whole milk, low moisture",Dairy and Egg Products,1027,,
153,"Cheese, ricotta, part skim milk",Dairy and Egg Products,1037,,
154,"Cheese, ricotta, whole milk",Dairy and Egg Products,1036,,
156,"Milk, buttermilk, dried",Dairy and Egg Products,1094,,
157,"Milk, buttermilk, fluid, cultured, lowfat",Dairy and Egg Products,1088,,
158,"Milk, buttermilk, fluid, cultured, reduced fat",Dairy and Egg Products,42189,,
159,"Milk, buttermilk, fluid, whole",Dairy and Egg Products,1230,,
180,"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",Dairy and Egg Products,1291,,
181,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",Dairy and Egg Products,1059,,
182,"Milk, filled, fluid, with lauric acid oil",Dairy and Egg Products,1060,,
183,"Milk, fluid, 1% fat, without added vitamin A and vitamin D",Dairy and Egg Products,1175,,
184,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",Dairy and Egg Products,42290,,
185,"Milk, goat, fluid, with added vitamin D",Dairy and Egg Products,1106,,
186,"Milk, human, mature, fluid",Dairy and Egg Products,1107,,
187,"Milk, imitation, non-soy",Dairy and Egg Products,43543,,
188,"Milk, indian buffalo, fluid",Dairy and Egg Products,1108,,
189,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,1084,,
190,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",Dairy and Egg Products,1083,,
191,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,1082,,
192,"Milk, low sodium, fluid",Dairy and Egg Products,1089,,
193,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",Dairy and Egg Products,1087,,
194,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,1086,,
195,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,1085,,
196,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,1151,,
197,"Milk, producer, fluid, 3.7% milkfat",Dairy and Egg Products,1078,,
198,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,1081,,
199,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",Dairy and Egg Products,1080,,
200,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",Dairy and Egg Products,1152,,
201,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,1079,,
202,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",Dairy and Egg Products,1174,,
204,"Milk shakes, thick vanilla",Dairy and Egg Products,1111,,
205,"Milk, sheep, fluid",Dairy and Egg Products,1109,,
206,"Milk substitutes, fluid, with lauric acid oil",Dairy and Egg Products,1076,,
207,"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,1077,1.25,1952.2
208,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Dairy and Egg Products,1211,,
211,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Nut and Seed Products,12117,,
220,"Seeds, chia seeds, dried",Nut and Seed Products,12006,10,908
225,"Nuts, almond butter, plain, without salt added",Nut and Seed Products,12195,,
226,"Nuts, almond butter, plain, with salt added",Nut and Seed Products,12695,,
227,"Nuts, almond paste",Nut and Seed Products,12071,,
228,"Nuts, almonds",Nut and Seed Products,12061,31.99,2270
229,"Nuts, almonds, blanched",Nut and Seed Products,12062,,
237,"Seeds, pumpkin and squash seed kernels, dried",Nut and Seed Products,12014,16,1362
242,"Seeds, sunflower seed butter, without salt",Nut and Seed Products,12040,,
243,"Seeds, sunflower seed butter, with salt added",Nut and Seed Products,12540,,
244,"Seeds, sunflower seed flour, partially defatted",Nut and Seed Products,12041,,
245,"Seeds, sunflower seed kernels, dried",Nut and Seed Products,12036,13,908
251,"Seeds, sunflower seed kernels, toasted, without salt",Nut and Seed Products,12039,,
252,"Seeds, sunflower seed kernels, toasted, with salt added",Nut and Seed Products,12539,,
265,"Peanut butter, chunk style, without salt",Legumes and Legume Products,16397,,
266,"Peanut butter, chunk style, with salt",Legumes and Legume Products,16097,,
267,"Peanut butter, chunky, vitamin and mineral fortified",Legumes and Legume Products,16156,,
268,"Peanut butter, reduced sodium",Legumes and Legume Products,42291,,
269,"Peanut butter, smooth, reduced fat",Legumes and Legume Products,16150,,
270,"Peanut butter, smooth style, without salt",Legumes and Legume Products,16398,,
271,"Peanut butter, smooth style, with salt",Legumes and Legume Products,16098,,
272,"Peanut butter, smooth, vitamin and mineral fortified",Legumes and Legume Products,16155,,
273,"Peanut butter with omega-3, creamy",Legumes and Legume Products,16399,,
274,"Peanut flour, defatted",Legumes and Legume Products,16099,,
275,"Peanut flour, low fat",Legumes and Legume Products,16100,,
281,"Peanuts, all types, raw",Legumes and Legume Products,16087,,
282,"Peanut spread, reduced sugar",Legumes and Legume Products,16149,,
285,"Peanuts, spanish, raw",Legumes and Legume Products,16091,16.94,2270
288,"Peanuts, valencia, raw",Legumes and Legume Products,16093,,
291,"Peanuts, virginia, raw",Legumes and Legume Products,16095,,
292,"USDA Commodity, Peanut Butter, smooth",Legumes and Legume Products,16167,,
293,"Nuts, cashew butter, plain, without salt added",Nut and Seed Products,12088,,
294,"Nuts, cashew butter, plain, with salt added",Nut and Seed Products,12588,,
299,"Nuts, cashew nuts, raw",Nut and Seed Products,12087,14.99,908
300,"Nuts, walnuts, black, dried",Nut and Seed Products,12154,14.83,1132
302,"Nuts, walnuts, english",Nut and Seed Products,12155,,
303,"Nuts, walnuts, glazed",Nut and Seed Products,12156,,
304,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",Legumes and Legume Products,16056,3.28,454
305,"Mung beans, mature seeds, raw",Legumes and Legume Products,16080,16.37,1816
306,"Mung beans, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11043,,
307,"Beans, adzuki, mature seeds, raw",Legumes and Legume Products,16001,,
308,"Beans, black, mature seeds, raw",Legumes and Legume Products,16014,,
309,"Beans, black turtle, mature seeds, raw",Legumes and Legume Products,16016,,
310,"Beans, cranberry (roman), mature seeds, raw",Legumes and Legume Products,16019,,
311,"Beans, fava, in pod, raw",Vegetables and Vegetable Products,11973,,
312,"Beans, french, mature seeds, raw",Legumes and Legume Products,16022,,
313,"Beans, great northern, mature seeds, raw",Legumes and Legume Products,16024,,
317,"Beans, kidney, all types, mature seeds, raw",Legumes and Legume Products,16027,,
320,"Beans, kidney, california red, mature seeds, raw",Legumes and Legume Products,16030,,
323,"Beans, kidney, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11029,,
330,"Beans, kidney, red, mature seeds, raw",Legumes and Legume Products,16032,12.45,1362
333,"Beans, kidney, royal red, mature seeds, raw",Legumes and Legume Products,16035,,
334,"Beans, liquid from stewed kidney beans",Legumes and Legume Products,43125,,
335,"Beans, navy, mature seeds, raw",Legumes and Legume Products,16037,,
336,"Beans, navy, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11046,,
337,"Beans, pink, mature seeds, raw",Legumes and Legume Products,16040,,
338,"Beans, pinto, mature seeds, raw",Legumes and Legume Products,16042,,
339,"Beans, pinto, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11653,,
340,"Beans, small white, mature seeds, raw",Legumes and Legume Products,16045,,
342,"Beans, snap, yellow, raw",Vegetables and Vegetable Products,11722,,
343,"Beans, white, mature seeds, raw",Legumes and Legume Products,16049,,
344,"Beans, yellow, mature seeds, raw",Legumes and Legume Products,16047,,
345,"Broadbeans (fava beans), mature seeds, raw",Legumes and Legume Products,16052,,
347,"Hyacinth-beans, immature seeds, raw",Vegetables and Vegetable Products,11224,,
348,"Hyacinth beans, mature seeds, raw",Legumes and Legume Products,16067,,
349,"Lima beans, immature seeds, raw",Vegetables and Vegetable Products,11031,,
350,"Lima beans, large, mature seeds, raw",Legumes and Legume Products,16071,,
351,"Lima beans, thin seeded (baby), mature seeds, raw",Legumes and Legume Products,16074,,
352,"Mothbeans, mature seeds, raw",Legumes and Legume Products,16078,,
355,"Mungo beans, mature seeds, raw",Legumes and Legume Products,16083,,
356,"Winged bean leaves, raw",Vegetables and Vegetable Products,11597,,
357,"Winged beans, immature seeds, raw",Vegetables and Vegetable Products,11595,,
358,"Winged beans, mature seeds, raw",Legumes and Legume Products,16135,,
359,"Winged bean tuber, raw",Vegetables and Vegetable Products,11599,,
360,"Yardlong bean, raw",Vegetables and Vegetable Products,11199,,
361,"Yardlong beans, mature seeds, raw",Legumes and Legume Products,16133,,
362,"Beverages, ABBOTT, EAS whey protein powder",Beverages,14033,,
363,"Beverages, Protein powder whey based",Beverages,14066,,
364,"Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,",Beverages,14055,,
365,"Beverages, Whey protein powder isolate",Beverages,14058,11.6,454
366,"Cheese, cottage, creamed, large or small curd",Dairy and Egg Products,1012,2.5,590.2
367,"Cheese, cottage, creamed, with fruit",Dairy and Egg Products,1013,,
368,"Cheese, cottage, lowfat, 2% milkfat",Dairy and Egg Products,1015,,
369,"Cheese, cottage, lowfat, 1% milkfat",Dairy and Egg Products,1016,,
370,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",Dairy and Egg Products,42235,,
371,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",Dairy and Egg Products,43352,,
372,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",Dairy and Egg Products,43396,,
374,"Cheese, cottage, with vegetables",Dairy and Egg Products,43273,,
375,"Bananas, dehydrated, or banana powder",Fruits and Fruit Juices,9041,,
376,"Bananas, raw",Fruits and Fruit Juices,9040,0.49,454
377,"Beverages, V8 SPLASH Juice Drinks, Strawberry Banana",Beverages,14617,,
378,"Beverages, V8 SPLASH Smoothies, Strawberry Banana",Beverages,14087,,
379,"Beverages, V8 V-FUSION Juices, Strawberry Banana",Beverages,14621,,
380,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",Fruits and Fruit Juices,9516,,
381,"Fruit juice smoothie, NAKED JUICE, strawberry banana",Fruits and Fruit Juices,9531,,
382,"Fruit juice smoothie, ODWALLA, strawberry banana",Fruits and Fruit Juices,9530,,
385,SILK Banana-Strawberry soy yogurt,Legumes and Legume Products,16259,,
388,"Blueberries, dried, sweetened",Fruits and Fruit Juices,9163,,
391,"Blueberries, raw",Fruits and Fruit Juices,9050,6.99,509.4
394,SILK Blueberry soy yogurt,Legumes and Legume Products,16257,,
423,"Beans, snap, green, microwaved",Vegetables and Vegetable Products,11063,,
463,"Alfalfa seeds, sprouted, raw",Vegetables and Vegetable Products,11001,,
472,"Brussels sprouts, raw",Vegetables and Vegetable Products,11098,3.99,454
473,"Lentils, sprouted, raw",Vegetables and Vegetable Products,11248,,
476,"Radish seeds, sprouted, raw",Vegetables and Vegetable Products,11676,,
477,"Soybeans, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11452,,
478,"Rice, brown, long-grain, raw",Cereal Grains and Pasta,20036,,
479,"Rice, brown, medium-grain, raw",Cereal Grains and Pasta,20040,,
480,"Rice, white, long-grain, regular, raw, enriched",Cereal Grains and Pasta,20044,12.76,1816
481,"Rice, white, long-grain, regular, raw, unenriched",Cereal Grains and Pasta,20444,,
482,"Rice, white, medium-grain, raw, enriched",Cereal Grains and Pasta,20050,,
483,"Rice, white, medium-grain, raw, unenriched",Cereal Grains and Pasta,20450,,
484,"Rice, white, short-grain, raw, unenriched",Cereal Grains and Pasta,20452,,
485,"Wild rice, raw",Cereal Grains and Pasta,20088,,
486,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",Cereal Grains and Pasta,20324,,
487,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",Cereal Grains and Pasta,20024,,
488,"Wheat flours, bread, unenriched",Cereal Grains and Pasta,20129,,
489,"Wheat flour, white, all-purpose, enriched, bleached",Cereal Grains and Pasta,20081,,
490,"Wheat flour, white, all-purpose, enriched, calcium-fortified",Cereal Grains and Pasta,20381,,
491,"Wheat flour, white, all-purpose, enriched, unbleached",Cereal Grains and Pasta,20581,,
492,"Wheat flour, white, all-purpose, self-rising, enriched",Cereal Grains and Pasta,20082,,
493,"Wheat flour, white, all-purpose, unenriched",Cereal Grains and Pasta,20481,,
494,"Wheat flour, white, bread, enriched",Cereal Grains and Pasta,20083,,
495,"Wheat flour, white, cake, enriched",Cereal Grains and Pasta,20084,,
496,"Wheat flour, white (industrial), 9% protein, bleached, enriched",Cereal Grains and Pasta,20623,,
497,"Wheat flour, white (industrial), 10% protein, bleached, enriched",Cereal Grains and Pasta,20628,,
498,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",Cereal Grains and Pasta,20634,,
499,"Wheat flour, white (industrial), 13% protein, bleached, enriched",Cereal Grains and Pasta,20640,,
500,"Wheat flour, white (industrial), 15% protein, bleached, enriched",Cereal Grains and Pasta,20645,,
501,"Wheat flour, white (industrial), 9% protein, bleached, unenriched",Cereal Grains and Pasta,20624,,
502,"Wheat flour, white (industrial), 10% protein, bleached, unenriched",Cereal Grains and Pasta,20629,,
503,"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",Cereal Grains and Pasta,20635,,
504,"Wheat flour, white (industrial), 13% protein, bleached, unenriched",Cereal Grains and Pasta,20641,,
505,"Wheat flour, white (industrial), 15% protein, bleached, unenriched",Cereal Grains and Pasta,20646,,
506,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",Cereal Grains and Pasta,20630,,
507,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",Cereal Grains and Pasta,20636,,
508,"Wheat flour, white, tortilla mix, enriched",Cereal Grains and Pasta,20086,,
509,"Wheat flour, whole-grain",Cereal Grains and Pasta,20080,3.69,2270
510,"Wheat flour, whole-grain, soft wheat",Cereal Grains and Pasta,20649,,